CGC_HOSP,RAZAO,UF_ZI,CMPT
01552309000157,HOSPITAL DE OLHOS CAMARGO ZAMBRIN LTDA ME,52,201505
01552868000167,HOSPITAL SANTA LUCIA LTDA,52,201505
01552942000145,HOSPITAL SAMARITANO DE GOIANIA LTDA,52,201203
01554104000100,HOSPITAL E MATERNIDADE SAO MARCOS LTDA,52,201505
01564939000141,CLINICA INFANTIL DE CAMPINAS LTDA,52,201505
01565209000165,CLINICA SANTA GENOVEVA SC,52,201505
01567601000224,HOSPITAL DAS CLINICAS UFG,52,201505
01567668000188,HOSPITAL SANTA CATARINA LTDA,52,201505
01569060000192,CLINICA SANTA MONICA LTDA,52,201505
01569132000100,INSTITUTO INTEGRADO DE SAUDE LTDA,15,200801
01571791000172,INSTITUTO POTIGUAR DE OFTALMOLOGIA LTDA EPP,24,201212
01574036000141,LEALMORAES LTDA,15,200801
01578554000214,PREFEITURA MUNICIPAL DE GOVERNADOR LUIZ ROCHA,21,201505
01585595000157,ASSOCIACAO DE COMBATE AO CANCER EM GOIAS,52,201505
01586742000103,HOSPITAL ORTOPEDICO DE GOIANIA LTDA,52,201505
01588128000180,PRONTO SOCORRO PARA QUEIMADURAS LTDA,52,201505
01590900000107,HOSPITAL UROLOGICO DE GOIANIA LTDA,52,201505
01599092000130,REAL SOCIEDADE PORTUGUESA DE SANTA MARIA,27,200801
01606515000100,ASSOCIACAO PISIQUIATRICA TEODORA ALBUQUERQUE,27,201505
01608475000209,PREFEITURA MUNICIPAL DE VILA NOVA DOS MARTIRIOS,21,201505
01608768000296,PREFEITURA MUNICIPAL DE NOVA COLINAS,21,201505
01609274000145,OFTALMOCENTRO DE UBERABA LTDA,31,200801
01610134000278,PREFEITURA MUNICIPAL DE CIDELANDIA,21,201505
01612346000294,PREFEITURA MUNICIPAL DE IGARAPE DO MEIO,21,201505
01612355000285,SECRETARIA MUNICIPAL DE SAUDE DE PORTO REAL,33,201505
01613956000202,PREFEITURA MUNICIPAL DE SAO PEDRO DAGUA BRANCA,21,201504
01613967000101,WALTER MASSI,52,200801
01615319000194,HOSPITAL E MATERNIDADE VILA NOVA LTDA,52,200801
01615632000122,HOSPITAL GOIANIA LESTE LTDA,52,201505
01617489000108,INSTITUTO GOIANO DE PEDIATRIA LTDA,52,201505
01619790000150,SANTA CASA DE MISERICORDIA DE GOIANIA,52,201505
01625151000106,HOSPITAL SAO FRANCISCO DE ASSIS LTDA,52,201505
01640539000178,HOSPITAL E MATERNIDADE FREI SAMARATE SC LTDA,15,200801
01653450000146,INSTITUTO ESPIRITA BATUIRA DE SAUDE MENTAL,52,201505
01688746000100,MORAHN MOVIMENTO DE REINTEGRACAO DO HANSENIANO,52,200801
01696781000163,PREFEITURA MUNICIPAL DE MIRABELA,31,200801
01715614000112,HOSPITAL ORTOPEDICO DE URUACU LTDA,52,201505
01728890000115,CLINICA REVIVER LTDA,42,201505
01740921000153,FUNDACAO DE SAUDE DR JACOB BLESZ,43,201505
01747603000114,REGIANNE PIRES CIA LTDA,15,201505
01751614000178,PREFEITURA MUINICIPAL DE PASSA E FICA,24,200801
01758119000190,HOSP NOSSA SENHORA DAS GRACAS LTDA,52,201504
01767090000103,SOCIEDADE HOSPITALAR BENEFICENTE FREI BRUNO,42,201505
01775217000136,HOSPITAL SAO PAULO LTDA,22,201505
01775834000131,FUNDACAO HOSPITALAR JOSE PEREGRINO,24,200801
01780642000113,HOSPITAL E MATERNIDADE SAO LUCAS LTDA,52,200801
01788362000151,SOCIEDADE CIVIL NOSSA SENHORA APARECIDA,41,200801
01790047000169,HOSPITAL E MATERNIDADE MOZARLANDIA,52,200801
01790070000153,HOSPITAL ORTOPEDICO DE CERES LTDA,52,201505
01797117000100,HOSPITAL E MATERNIDADE SAO PIO X LTDA,52,201505
01803082000256,SECRETARIA MUNICIPAL DE SAUDE DE TIMON,21,200801
01807487000262,HOSP LOCAL DE MATIAS OLIMPIO,22,200801
01813401000123,CLINICA PSIQUIATRICA PINEL SC LTDA,52,201505
01816967000109,IRMANDADE NOSSA SENHORA DA CONCEICAO DE PARA DE MINAS,31,201505
01825603000195,SOCIEDADE HOSPITALAR SANTA LUZIA LTDA,52,201505
01842194000135,HOSPITAL DE TRINDADE LTDA,52,201505
01857622000101,HOSPITAL DE CARIDADE SAO PEDRO DALCANTARA,52,201504
01861855000170,AZZI E SUBTIL LTDA,52,200801
01862880000178,PREFEITURA MUNICIPAL DE BACABAL,21,200801
01864999000260,SMS DE BARRO DURO,22,201106
01868298000119,HOSPITAL OSWALDO CRUZ,51,201505
01868641000125,HOSPITAL SANTA MARIA SC LTDA,15,200801
01884775000130,ASSOCIACAO HOSPITALAR SAO JOSE,43,201505
01910810000148,HOSPITAL DIA DE PICOS,22,201504
01916808000186,HOSPITAL SAO PAULO LTDA,52,201505
01923465000187,ASSOCIACAO BENEF DR JULIO PAULINO MAIA,50,201505
01951177000136,SOCIEDADE INTEGRADA DE ASSISTENCIA SOCIAL,50,201505
01979048000156,SOCIEDADE HOSPITALAR S GABRIEL AMETISTA DO SUL,43,201505
02023729000109,HOSPITAL SAO SEBASTIAO LTDA,52,201505
02037950000116,IRMANDADE SANTA C M CASSILANDIA,50,201504
02072332000107,SOCIEDADE BENEFICENTE HOSPITAL SAO SEBASTIAO DE INHAPIM,31,201505
02072841000130,CLINICA E CIRURGIA LTDA,52,200801
02074443000233,SMS DE ITAUEIRA,22,201505
02079705000171,HOSPITAL SAO VICENTE LTDA,52,200801
02083986000136,HOSPITAL MATERNIDADE SAO MIGUEL LTDA,15,201504
02096659000119,HOSPITAL SAO SEBASTIAO DE INHUMAS LTDA,52,201504
02098853000133,TUFI ELIAS JORGE SAHIUM,52,201412
02106150000614,CENTRO DE MEDICINA HUMANA SC LTDA,29,201505
02108023000301,CESED CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO LTDA,25,201505
02109397000180,NATAL HOSPITAL CENTER S A,24,201505
02118099000156,CLINICA SANTA MARIA LTDA,52,200801
02122156000170,JL DA LUZ,22,200801
02122913000106,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA,42,201505
02122913000297,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA,42,201505
02122913000378,ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA,42,201505
02134930000163,HOSPITAL EVANGELICO DE IPORA LTDA,52,200801
02137404000157,HOSPITAL E MATERNIDADE SAO PAULO LTDA,52,200801
02145908000119,CENTRO INTEGRADO DE OFTALMOLOGIA LTDA,42,201505
02160922000191,ASSOCIACAO COMUNITARIA SAO JUDAS TADEU,42,201505
02165389000150,HOSPITAL E MATERNIDADE MAE MARIA LTDA,52,200801
02170264000119,WAGNER CAMARGO,52,200801
02171767000109,HOSPITAL SAO LUCAS DE INDIARA LTDA,52,200801
02181238000196,DIVINO GERSON DE FARIA,52,200801
02194783000117,SOCIEDADE BENEFICENTE CRISTO REI,41,201505
02197747000107,HOSPITAL SANTA MARIA DE ITUMBIARA LTDA,52,201505
02198539000122,HOSPITAL E MATERNIDADE SAO MARCOS,52,201505
02201695000103,HOSPITAL E MATERNIDADE ITAPERUCU,41,201505
02202173000118,HOSPITAL JULIA SEFER SA LTDA,15,201504
02206472000120,HOSPITAL E MATERNIDADE BELA VISTA LTDA,52,200801
02209094000139,VITORIA APART HOSPITAL SA,32,201305
02212781000103,SOCIEDADE BENEFICENTE WALDEMAR MIGUEL,31,201505
02216174000111,HOSPITAL SANTA MARTA LTDA,52,200801
02223709000181,CLINICA HOSPITALAR SANTO ANTONIO LTDA,52,200801
02226140000108,ANTONIO GONCALVES DA SILVA E CIA LTDA,52,201505
02233948000112,ASSOCIACAO PRO CARITAS,52,201505
02237246000107,HOSP E MAT JARAGUA OBRA UNIDA A SOC SAO VIC DE PAULA,52,201505
02248417000101,SOCIEDADE MANTENEDORA DO HOSPITAL REGIONAL JATAI,52,200801
02251214000166,FUNDACAO EDUCACIONAL E DE SAUDE DE SONORA,50,201505
02252005000137,HOSPITAL PADRE THIAGO,52,201408
02257855000128,CENTRO MEDICO E MATERNIDADE MENINO JESUS LTDA,52,201505
02267239000158,NUCLEO DE MEDICINA ESPECIALIZADA,31,201505
02274652000140,HOSPITAL SANTA CECILIA LTDA,52,201505
02279632000161,SOS SERVICO DE OLHOS SANTANA LTDA,29,201505
02284062000106,HOSPITAL ESPERANCA LTDA,26,200801
02304065000156,HOSPITAL DR ESTEVAM PONTE LTDA,23,201505
02308080000172,HOSPITAL CAROLINA DUARTE LTDA,22,200801
02315463000178,FIGUEIRAS JUNIOR E CIA LTDA,52,201505
02329555000107,ORGANIZACAO HOSPITALAR DONA ELISA,52,200801
02341489000190,J L RAMOS CALDAS E CIA LTDA,21,200801
02342509000148,HOSPITAL NOSSA SENHORA DO CARMO LTDA,52,200801
02343630000194,CASA DE SAUDE E MATERNIDADE SYLVIO DE MELLO LTDA,52,201505
02348373000183,SANTA CASA DE MISERICORDIA DE BURITI ALEGRE,52,201503
02350961000151,ASSOCIACAO BENEFICIENTE DE SAUDE E ASSISTENCIA SANTA MARIA,21,200801
02351408000133,NOSSA MED HOSPITAL E MATERNIDADE,41,201505
02382604000175,CLINICA INFANTIL DE CERES LTDA,52,201505
02385669000174,FIOTEC INSTITUTO FERNANDES FIGUEIRA,33,201411
02393874000181,AZEREDO E SILVA LTDA,52,200801
02411710000130,IRMANDADE BENEFICIENTE SAO JOSE,35,201505
02427361000144,CONSORCIO INTERMUNICIPAL DE SAUDE DO MEDIO ARAGUAIA,51,201505
02431997000160,HOSPITAL CRISTO REDENTOR LTDA,52,200801
02438461000176,HOSPITAL ALMODIN LTDA,41,201505
02453249000188,ROBERTO MARTINS SPADONI,52,200801
02461491000101,PREFEITURA MUNICIPAL DE BARRA DO GARCAS,51,201011
